scorer,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000
bodyparts,P01,P01,P01,P02,P02,P02,P03,P03,P03
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
121,1213.008545,216.6286011,0.988319039,1205.058472,507.3948059,0.992811382,1200.727051,606.734436,0.990202308
122,1211.110229,216.6286011,0.987799168,1191.991699,507.3928223,0.994719148,1185.006836,602.4292603,0.99202162
123,1208.238647,216.4793243,0.994125605,1179.691528,504.948822,0.989087224,1168.339111,600.5944824,0.996323705
124,1206.102661,216.1460266,0.995208085,1166.101563,504.2253723,0.99525404,1152.721313,598.4946899,0.997499049
125,1203.353516,216.1460266,0.993524075,1154.141602,501.808136,0.998205662,1137.734985,593.0860596,0.997235835
126,1200.397339,216.1597137,0.990087926,1143.594849,497.3686829,0.996890485,1124.443359,586.1274414,0.984149635
127,1198.375122,216.1597137,0.987018824,1134.212402,492.325531,0.988635302,1110.953857,585.2182007,0.98118329
128,1196.337769,216.058075,0.988340139,1126.8479,491.9527588,0.995994925,1104.190796,575.0507813,0.962090135
129,1195.023804,216.058075,0.989243865,1120.741943,487.6316833,0.998245001,1095.194702,573.5672607,0.972219586
130,1194.775146,215.8128815,0.986219585,1118.362305,482.9043274,0.995701015,1091.290039,571.5533447,0.989695907
131,1194.627197,215.3530731,0.986218631,1118.362305,479.83255,0.996596992,1091.290039,569.0854492,0.995921612
132,1194.206665,215.1809692,0.986409068,1118.362305,479.7000427,0.994525194,1091.290039,567.6846313,0.99626714
133,1194.206665,215.1809692,0.984987795,1120.618774,478.7411499,0.994926572,1095.023926,566.7429199,0.986563325
134,1194.627197,215.1809692,0.985141516,1124.687866,478.7411499,0.996947587,1102.680786,566.4572144,0.993005693
135,1195.96875,215.1809692,0.986139119,1132.748169,479.7000427,0.994342446,1110.841064,564.7093506,0.993342102
136,1197.885986,215.5620728,0.98631531,1140.666504,481.7351685,0.998157442,1123.971191,563.5878906,0.99601835
137,1200.137451,215.8121796,0.988157332,1150.00293,483.8910217,0.994486868,1136.346191,563.5878906,0.996302962
138,1202.889893,215.8121796,0.993178606,1161.399292,486.2947998,0.995538175,1150.997803,563.5878906,0.992878497
139,1204.548706,216.2220612,0.99466753,1171.721436,489.2199707,0.997289896,1165.62085,565.0678101,0.988583684
140,1207.143188,216.2588196,0.993762076,1183.609253,491.4974365,0.994833112,1180.988892,567.2090454,0.973610401
141,1209.389282,216.3847504,0.990527987,1197.809326,493.1607056,0.990760326,1195.414551,571.1262207,0.906541646
142,1211.505371,216.3847504,0.989908099,1207.624512,496.2850952,0.994681299,1213.83313,575.7005005,0.959327042
143,1214.04541,216.3847504,0.988550127,1217.501831,497.2945557,0.997106135,1224.164917,581.015686,0.991746664
144,1216.039673,215.2970123,0.986201942,1227.878174,498.5908508,0.995729268,1234.305298,587.5789795,0.984592259
145,1217.483887,214.8011322,0.987697423,1233.386963,501.8287354,0.998332798,1241.967407,591.725708,0.985069871
146,1219.847778,214.8011322,0.99319011,1238.01062,503.5567017,0.998249829,1247.539551,598.0662231,0.995562077
147,1220.619019,214.8011322,0.994589806,1239.725586,505.6226807,0.993641555,1248.555664,601.8328247,0.993708134
148,1220.619019,214.8011322,0.995527923,1239.725586,506.5598755,0.989497542,1248.555664,603.4123535,0.988542795
149,1220.619019,215.0677185,0.995471358,1239.725586,506.7250366,0.994264662,1248.555664,603.413147,0.970851541
150,1220.136963,215.3508453,0.994313717,1236.407959,507.0639038,0.995249152,1243.268066,606.5346069,0.969906509
151,1219.721436,215.7678375,0.994172633,1229.805054,507.0639038,0.988959074,1233.300415,608.4882813,0.995968103
152,1216.776245,216.1857147,0.987999976,1222.578003,507.0639038,0.995983362,1222.195557,608.4882813,0.992263436
153,1214.43103,216.4537201,0.988420129,1210.806519,507.0245667,0.971229494,1209.193604,608.4882813,0.975811005
154,1212.908447,216.4537201,0.987919569,1200.523926,507.0245667,0.991685688,1195.903076,603.6175537,0.936892033
155,1210.47229,216.4537201,0.989886701,1187.916016,506.877533,0.99616915,1179.783813,602.7250977,0.952464283
156,1208.040283,216.2826691,0.993187308,1175.428589,506.877533,0.997492552,1163.975952,601.0792236,0.978735626
157,1205.771973,215.839035,0.995036542,1164.926392,501.8338013,0.992403924,1149.078979,598.085022,0.993204117
158,1202.848389,215.839035,0.993806124,1151.662354,500.3287659,0.996626377,1134.410889,591.9595947,0.99405539
159,1200.703369,215.839035,0.992065728,1141.925903,496.5420532,0.996438384,1123.111938,586.0410156,0.985021532
160,1198.146851,215.8724518,0.986887634,1133.369873,491.8270569,0.985013545,1110.567261,584.1272583,0.984790623
161,1196.944458,216.0193329,0.989039302,1126.65332,491.4174194,0.997117043,1104.296021,574.9001465,0.965944052
162,1194.818481,216.0193329,0.988465786,1121.210083,487.3097229,0.998934805,1096.097778,573.0690308,0.955271661
163,1194.466675,215.8724518,0.984948218,1118.92981,483.8334656,0.997940123,1094.15686,571.6448975,0.981675208
164,1193.795044,215.4539032,0.983502567,1118.92981,481.2208252,0.995327592,1094.15686,568.067627,0.993487358
