frame,P01_X,P01_Y,P01_Z,P02_X,P02_Y,P02_Z,P03_X,P03_Y,P03_Z
154,151.506,280.524,235.473,165.325,259.192,23.713,170.567,247.756,-49.976
155,150.461,277.901,235.575,159.741,245.165,27.444,163.298,229.752,-43.787
156,147.636,281.899,235.113,145.687,263.221,21.873,144.146,256.624,-53.153
157,146.122,281.383,235.046,135.803,268.468,21.872,131.168,261.396,-54.035
158,143.396,283.657,234.724,125.113,270.169,21.653,118.115,264.958,-53.355
159,142.504,281.240,234.947,120.807,258.175,26.098,112.964,250.688,-46.601
160,140.551,281.619,235.102,112.605,262.357,26.888,101.150,257.089,-47.720
161,139.214,283.322,235.333,105.692,268.597,26.643,92.808,264.913,-46.433
162,137.815,282.803,235.449,100.057,272.158,27.980,85.249,268.156,-45.660
163,137.231,283.952,235.746,95.735,279.347,27.794,81.908,274.044,-45.350
164,136.679,284.100,235.911,94.046,284.053,27.955,79.482,280.622,-45.242
165,136.676,284.095,235.955,94.036,284.022,28.720,79.573,280.819,-43.705
166,136.952,284.859,235.888,95.633,288.977,27.867,81.987,288.649,-45.879
167,137.394,285.346,235.831,99.120,292.529,27.944,87.183,288.300,-44.001
168,138.314,285.843,235.827,104.827,289.333,28.841,94.047,294.720,-43.574
169,139.195,285.940,235.328,111.757,293.011,27.463,102.765,294.932,-43.455
170,140.955,287.310,235.181,120.243,291.021,27.031,113.719,293.064,-40.902
171,142.877,287.031,235.110,130.119,289.181,27.172,125.148,289.133,-39.671
172,144.461,285.820,235.216,139.204,284.309,27.401,138.450,284.668,-38.731
173,145.551,288.748,234.792,144.705,299.106,23.051,144.770,302.366,-46.802
174,147.806,286.320,235.200,154.122,294.612,23.767,157.694,298.981,-46.763
175,149.346,286.531,235.227,163.698,289.533,24.505,170.090,296.818,-47.797
176,150.926,286.365,235.225,172.108,283.728,25.600,182.396,283.299,-45.222
177,152.748,284.283,235.739,180.168,280.873,26.145,192.034,274.855,-44.707
178,153.896,283.239,235.967,185.465,274.299,26.907,199.149,266.636,-44.197
179,155.906,282.262,236.157,189.861,268.039,28.176,204.573,261.761,-45.130
180,156.515,281.071,236.370,191.278,262.550,28.409,206.299,254.945,-43.873
181,156.544,280.960,236.382,191.321,262.583,27.547,206.357,254.974,-45.349
182,156.545,280.963,236.371,191.153,262.165,26.955,205.655,253.169,-45.512
183,156.210,280.255,236.154,189.488,258.707,27.317,201.482,248.216,-48.040
184,155.207,281.107,235.771,184.601,257.712,26.642,196.298,246.624,-49.430
185,153.167,281.148,235.446,178.483,258.775,24.937,187.286,247.851,-50.121
186,152.584,279.612,235.556,174.104,248.105,27.746,180.545,231.905,-44.510
187,151.166,278.805,235.595,164.881,246.357,27.608,170.210,233.306,-44.388
188,149.128,279.929,235.507,155.881,247.495,26.641,158.479,235.905,-46.753
189,147.831,279.663,235.453,146.398,249.883,25.495,145.629,239.906,-48.445
190,145.610,280.280,235.424,137.093,254.964,24.800,132.691,246.056,-48.992
191,144.550,279.487,235.473,127.423,260.212,24.912,120.005,250.776,-49.634
192,141.746,282.364,235.093,117.999,263.259,25.292,108.308,258.598,-50.031
193,139.913,283.037,235.049,110.638,268.062,26.679,98.403,264.331,-49.447
194,138.653,283.629,235.368,104.027,274.497,25.530,90.455,272.507,-48.209
195,137.370,283.062,235.616,98.615,279.551,26.537,84.598,274.920,-47.402
196,136.900,283.799,235.894,96.422,284.198,26.741,82.376,281.106,-46.212
197,136.708,284.493,235.866,94.970,288.467,27.111,81.053,285.961,-46.045
198,136.704,284.484,235.898,94.945,288.396,27.996,81.591,287.693,-45.508
199,137.109,285.605,235.807,96.774,294.100,26.535,83.533,294.029,-47.012
200,137.618,286.384,235.774,100.843,298.596,26.345,87.661,298.797,-47.089
201,138.333,287.165,235.656,105.481,299.992,25.936,94.780,303.075,-48.123
202,139.714,288.667,235.156,112.790,301.762,25.428,103.197,307.490,-49.361
203,141.914,286.148,234.912,124.797,286.303,28.734,119.464,286.781,-41.277
204,142.941,288.889,234.560,129.212,298.780,24.502,125.357,303.132,-45.378
205,144.453,287.392,234.723,139.418,297.609,24.478,136.718,298.698,-47.474
206,146.780,285.836,234.973,148.683,293.079,24.365,150.279,293.675,-46.575
207,148.099,286.407,235.244,157.920,288.104,24.843,162.260,290.002,-46.412
208,149.889,285.325,235.412,166.302,282.807,26.197,174.377,285.963,-46.723
209,151.715,284.331,235.573,174.589,279.276,26.295,184.959,276.287,-45.270
210,153.207,283.320,236.003,181.594,275.792,27.111,193.793,263.920,-43.180
211,154.536,280.315,236.409,186.527,268.085,28.234,200.025,259.478,-43.514
212,156.052,281.216,236.385,189.841,265.184,28.175,203.878,256.807,-44.291
213,156.109,281.359,236.372,189.958,265.368,27.651,204.182,257.164,-45.554
214,156.109,281.359,236.372,189.914,265.238,26.802,204.197,257.136,-46.772
215,156.118,281.370,236.212,189.354,263.881,26.223,201.880,251.535,-48.837
216,155.499,280.819,236.054,186.505,258.112,26.273,198.144,247.340,-48.040
217,154.476,278.089,235.651,183.468,250.873,28.173,193.460,238.957,-46.126
218,152.883,279.471,235.445,176.740,248.321,28.203,185.726,234.545,-45.331
219,151.920,279.966,235.412,169.809,249.790,26.739,175.773,236.056,-46.553
220,150.396,280.518,235.319,160.857,251.756,25.250,164.585,239.207,-47.201
221,148.689,280.799,235.279,151.546,254.526,24.602,152.936,242.316,-48.988
222,146.674,280.991,235.187,141.628,257.423,23.690,140.055,247.864,-50.253
223,145.620,280.117,235.285,132.252,262.857,22.872,127.085,253.791,-50.862
224,142.887,283.350,234.863,123.368,268.130,22.958,114.938,260.355,-49.384
225,141.291,283.785,234.734,115.206,271.731,23.953,104.485,268.065,-51.721
