frame,P01_Cam2_X,P01_Cam2_Y,P01_Cam3_X,P01_Cam3_Y,P02_Cam2_X,P02_Cam2_Y,P02_Cam3_X,P02_Cam3_Y,P03_Cam2_X,P03_Cam2_Y,P03_Cam3_X,P03_Cam3_Y
77,927.288,65.551,1213.053,216.058,943.186,398.186,1214.602,496.575,950.611,508.372,1220.562,578.043
78,930.334,65.551,1215.261,215.705,957.431,397.325,1224.850,498.712,969.602,508.372,1232.090,583.936
79,933.460,65.326,1217.300,215.098,969.658,397.325,1232.836,500.256,990.300,502.249,1243.399,586.868
80,937.620,65.189,1218.926,214.764,982.354,397.325,1239.018,501.411,1003.252,502.249,1249.052,595.332
81,939.678,65.337,1220.758,214.511,989.527,397.359,1244.836,502.400,1010.150,502.249,1254.374,599.217
82,940.018,65.337,1221.089,214.511,995.784,398.873,1244.836,504.447,1016.001,508.810,1254.374,600.767
83,940.018,65.337,1221.089,214.576,995.784,400.937,1244.836,504.571,1016.001,509.226,1254.374,602.618
84,940.018,65.357,1221.089,214.764,995.784,403.245,1241.999,506.660,1016.001,510.665,1252.052,603.459
85,939.688,65.669,1220.905,215.088,990.339,404.417,1235.722,507.012,1008.059,517.517,1244.548,605.165
86,938.338,66.906,1218.812,215.973,983.284,406.539,1229.468,507.617,999.365,521.377,1232.372,606.801
87,933.827,66.935,1216.928,216.125,971.468,411.770,1220.730,507.617,985.838,524.034,1220.075,606.801
88,933.809,66.935,1213.503,217.057,971.466,411.773,1209.266,507.177,985.773,524.204,1205.928,606.801
89,932.711,66.906,1211.913,217.057,957.470,412.954,1195.212,507.177,968.686,525.143,1190.075,603.810
90,928.204,66.906,1209.188,217.057,943.107,414.617,1180.833,505.521,948.536,527.977,1173.378,601.529
91,925.882,67.229,1206.624,216.441,926.605,414.719,1169.443,504.600,926.222,529.021,1156.393,598.285
92,923.543,67.564,1204.284,216.044,909.477,414.719,1157.314,502.203,903.839,529.021,1140.416,594.459
93,917.687,67.564,1200.751,216.033,892.420,414.719,1145.783,498.341,882.784,529.021,1126.230,586.708
94,915.076,67.564,1198.774,216.003,876.283,413.461,1135.171,493.289,861.204,526.282,1112.910,586.705
95,911.776,65.922,1196.701,215.672,864.299,410.719,1127.896,491.130,844.666,523.618,1104.595,575.810
96,910.315,65.785,1194.893,215.647,852.163,407.767,1119.780,488.887,832.326,523.213,1094.177,573.425
97,908.350,64.267,1194.499,215.476,843.461,406.303,1117.197,484.255,824.647,518.786,1090.075,571.768
98,907.426,63.708,1194.186,215.123,837.058,404.530,1117.197,480.586,817.014,514.810,1090.075,569.375
99,907.096,63.708,1194.186,214.984,836.864,402.611,1117.197,479.117,817.014,512.699,1090.075,567.885
100,907.096,63.708,1194.186,214.984,836.864,401.735,1117.861,479.117,817.014,511.189,1091.239,567.048
101,907.096,63.722,1194.839,214.984,836.864,401.734,1122.134,479.117,817.039,510.491,1098.835,566.060
102,907.743,63.746,1194.839,216.054,842.648,399.853,1128.049,480.203,823.789,510.421,1106.546,565.180
103,908.913,64.190,1196.774,216.054,850.100,399.590,1136.099,481.508,832.399,509.162,1119.023,563.297
104,910.314,65.254,1198.415,216.060,859.533,399.590,1147.769,481.940,844.080,509.162,1132.564,563.297
105,912.405,65.543,1201.916,216.054,874.369,399.590,1158.180,485.482,861.509,503.515,1145.807,563.297
106,915.542,66.575,1204.108,216.054,888.749,400.173,1168.744,488.999,879.934,503.515,1161.154,564.444
107,918.590,66.575,1206.280,216.393,904.551,400.173,1181.112,489.769,902.480,504.690,1174.807,567.739
108,923.110,66.575,1208.857,216.393,920.760,400.173,1195.439,492.392,922.278,504.891,1190.853,570.845
109,925.484,65.855,1211.238,216.375,937.264,399.231,1205.881,495.615,940.115,504.690,1209.579,574.334
110,928.557,65.855,1213.855,216.375,952.183,398.355,1216.060,496.899,963.000,504.690,1222.067,580.096
111,932.221,65.597,1215.764,216.066,965.635,397.889,1227.477,497.538,982.178,503.401,1233.217,586.086
112,934.949,65.597,1217.560,214.894,977.154,397.889,1233.071,501.474,995.697,503.401,1242.809,589.704
113,938.492,65.353,1219.473,214.894,986.071,397.889,1238.462,502.512,1005.863,503.401,1248.401,596.527
114,939.670,65.353,1220.713,214.798,992.956,399.184,1243.841,503.386,1013.716,507.300,1252.582,599.935
115,939.701,65.353,1220.856,214.798,992.961,399.193,1243.841,504.277,1013.724,507.353,1252.582,602.539
116,939.701,65.576,1220.856,214.900,992.961,401.136,1243.841,505.058,1013.724,510.904,1252.582,602.540
117,939.701,65.719,1220.856,214.961,992.956,402.912,1238.728,507.067,1013.716,511.206,1247.703,604.011
118,938.827,66.836,1220.521,215.187,986.511,406.960,1233.891,507.395,1003.992,521.650,1238.124,607.245
119,938.671,66.836,1217.929,215.627,986.499,407.137,1226.120,507.403,1003.992,521.661,1229.082,607.245
120,935.207,66.836,1215.840,216.629,976.411,408.929,1216.678,507.395,992.311,522.995,1215.198,607.245
121,933.142,66.808,1213.009,216.629,964.958,412.582,1205.058,507.395,977.064,524.680,1200.727,606.734
122,929.650,66.738,1211.110,216.629,950.798,414.021,1191.992,507.393,957.476,527.233,1185.007,602.429
123,926.670,66.738,1208.239,216.479,935.462,415.629,1179.692,504.949,937.043,530.563,1168.339,600.594
124,924.233,66.808,1206.103,216.146,918.791,415.629,1166.102,504.225,914.359,530.563,1152.721,598.495
125,919.337,66.738,1203.354,216.146,901.600,415.629,1154.142,501.808,893.148,530.563,1137.735,593.086
126,916.642,66.738,1200.397,216.160,884.914,413.633,1143.595,497.369,872.228,530.477,1124.443,586.127
127,912.650,66.352,1198.375,216.160,871.948,410.957,1134.212,492.326,853.730,525.637,1110.954,585.218
128,912.617,66.294,1196.338,216.058,871.851,410.883,1126.848,491.953,853.617,524.996,1104.191,575.051
129,910.977,65.171,1195.024,216.058,857.972,409.253,1120.742,487.632,838.566,524.950,1095.195,573.567
130,909.142,65.106,1194.775,215.813,846.852,406.403,1118.362,482.904,828.419,520.773,1091.290,571.553
131,907.559,63.768,1194.627,215.353,836.257,403.309,1118.362,479.833,816.608,513.111,1091.290,569.085
132,907.550,63.758,1194.207,215.181,836.257,403.265,1118.362,479.700,816.608,512.990,1091.290,567.685
133,907.550,63.758,1194.207,215.181,836.257,401.619,1120.619,478.741,816.608,510.912,1095.024,566.743
134,907.550,63.758,1194.627,215.181,839.821,400.418,1124.688,478.741,820.409,510.538,1102.681,566.457
135,908.190,63.812,1195.969,215.181,846.019,399.210,1132.748,479.700,827.603,509.553,1110.841,564.709
136,909.602,64.495,1197.886,215.562,856.360,399.141,1140.667,481.735,837.896,504.055,1123.971,563.588
137,911.408,65.835,1200.137,215.812,867.600,399.141,1150.003,483.891,852.334,504.055,1136.346,563.588
138,914.082,66.524,1202.890,215.812,881.385,399.210,1161.399,486.295,871.764,503.577,1150.998,563.588
139,917.347,66.524,1204.549,216.222,897.326,399.801,1171.721,489.220,891.131,504.055,1165.621,565.068
140,922.325,66.524,1207.143,216.259,912.503,399.801,1183.609,491.497,912.951,508.401,1180.989,567.209
141,923.616,65.515,1209.389,216.385,928.144,399.801,1197.809,493.161,932.389,508.401,1195.415,571.126
142,927.307,65.515,1211.505,216.385,943.754,399.438,1207.625,496.285,950.261,507.561,1213.833,575.701
143,930.356,65.515,1214.045,216.385,958.038,399.232,1217.502,497.295,973.082,507.561,1224.165,581.016
144,933.491,65.957,1216.040,215.297,969.907,398.851,1227.878,498.591,991.664,507.454,1234.305,587.579
145,937.606,65.957,1217.484,214.801,982.093,398.851,1233.387,501.829,1003.027,507.373,1241.967,591.726
146,937.652,65.957,1219.848,214.801,982.169,398.851,1238.011,503.557,1003.335,507.454,1247.540,598.066
