scorer,DLC_resnet50_PendulumApr22shuffle1_20000,DLC_resnet50_PendulumApr22shuffle1_20000,DLC_resnet50_PendulumApr22shuffle1_20000,DLC_resnet50_PendulumApr22shuffle1_20000,DLC_resnet50_PendulumApr22shuffle1_20000,DLC_resnet50_PendulumApr22shuffle1_20000,DLC_resnet50_PendulumApr22shuffle1_20000,DLC_resnet50_PendulumApr22shuffle1_20000,DLC_resnet50_PendulumApr22shuffle1_20000
bodyparts,P01,P01,P01,P02,P02,P02,P03,P03,P03
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
112,934.9492797851562,66.12874603271484,0.9907311797142029,977.1537475585938,397.4715270996094,0.9959802627563477,995.6973876953125,502.64337158203125,0.9884964227676392
113,938.4923706054688,65.35264587402344,0.9860994219779968,986.0714111328125,397.775146484375,0.9824428558349609,1005.8634033203125,503.4006652832031,0.9754925966262817
114,939.67041015625,64.61483764648438,0.9878039360046387,992.9605712890625,399.1932678222656,0.9978432655334473,1013.7237548828125,507.3525695800781,0.9717860817909241
115,939.7008056640625,64.59843444824219,0.9880445599555969,992.9564819335938,399.18365478515625,0.9978316426277161,1013.7159423828125,507.2998352050781,0.9712296724319458
116,940.4215698242188,65.71935272216797,0.9869710206985474,996.9549560546875,401.13568115234375,0.9981162548065186,1017.4188232421875,510.9036865234375,0.9762601256370544
117,939.7874145507812,65.57630920410156,0.9883254766464233,996.8035888671875,402.912109375,0.9986268281936646,1017.2355346679688,511.20611572265625,0.978066086769104
118,938.8265380859375,66.9596939086914,0.9856356382369995,986.5114135742188,406.9595031738281,0.9931274652481079,1003.9918212890625,521.6495971679688,0.9701732397079468
119,938.6712036132812,67.08307647705078,0.9861927628517151,986.4987182617188,407.1373291015625,0.9932968020439148,1003.9917602539062,521.6610107421875,0.9700683951377869
120,935.2073974609375,66.83576202392578,0.989643931388855,976.4111328125,408.9288024902344,0.9937102794647217,992.3108520507812,522.9951782226562,0.9844298362731934
121,933.1420288085938,66.70744323730469,0.9950627684593201,964.9576416015625,412.5815124511719,0.9943510293960571,977.0637817382812,524.6797485351562,0.9873946905136108
122,929.650146484375,66.80827331542969,0.9961231350898743,950.7982177734375,414.0210876464844,0.9951032400131226,957.47607421875,527.232666015625,0.975975751876831
123,926.6697998046875,66.54924774169922,0.9946935772895813,935.4616088867188,415.6288757324219,0.9964356422424316,937.0428466796875,532.7286376953125,0.9823349714279175
124,924.2327270507812,66.73775482177734,0.9886811971664429,918.7910766601562,416.0230712890625,0.9975429773330688,914.3591918945312,532.5381469726562,0.9908764958381653
125,919.3367309570312,67.69435119628906,0.9808551669120789,901.6002197265625,415.7808532714844,0.9976480603218079,893.1482543945312,530.5626220703125,0.9807641506195068
126,916.6416625976562,67.93598175048828,0.9915476441383362,884.9142456054688,413.63323974609375,0.9932509064674377,872.2284545898438,530.4771118164062,0.984112560749054
127,912.6166381835938,66.29434204101562,0.995678722858429,871.850830078125,410.883056640625,0.99134761095047,853.617431640625,524.9503784179688,0.983911395072937
128,912.6497802734375,66.35243225097656,0.9955565333366394,871.9483032226562,410.95733642578125,0.9911348819732666,853.7299194335938,524.9959716796875,0.9841092228889465
129,910.9768676757812,65.17109680175781,0.9943199157714844,857.9717407226562,409.2528076171875,0.9889869689941406,838.5657958984375,525.636962890625,0.9808643460273743
130,909.1415405273438,65.10572814941406,0.9886382222175598,846.8521118164062,406.403076171875,0.9974620342254639,828.4185791015625,520.7727661132812,0.9725897312164307
131,907.5589599609375,63.76795196533203,0.983944296836853,836.2568359375,403.2645263671875,0.998331606388092,816.2840576171875,512.989990234375,0.9919307827949524
132,907.5499877929688,63.75777053833008,0.9838813543319702,836.2222900390625,403.3094787597656,0.9983310103416443,816.1793212890625,513.111083984375,0.9918587803840637
133,907.080810546875,63.60890197753906,0.9812018871307373,836.0028076171875,401.6190490722656,0.997654378414154,816.6080322265625,510.53826904296875,0.9879746437072754
134,907.3472900390625,63.203582763671875,0.9801487326622009,839.8214721679688,400.41827392578125,0.9946458339691162,820.4091796875,510.9117431640625,0.9949555993080139
135,908.1900634765625,63.81153106689453,0.9842066764831543,846.0192260742188,398.6297912597656,0.9946381449699402,827.6033935546875,509.5534973144531,0.9660855531692505
136,909.6019897460938,64.49461364746094,0.9909970760345459,856.3599243164062,399.2098388671875,0.9936434030532837,837.8958129882812,503.57720947265625,0.9883677363395691
137,911.407958984375,65.83543395996094,0.9951180219650269,867.5996704101562,399.03070068359375,0.9969632029533386,852.3336791992188,495.9289245605469,0.9953023195266724
138,914.0816040039062,66.52394104003906,0.9964640736579895,881.3845825195312,399.14068603515625,0.9971950054168701,871.764404296875,504.0554504394531,0.9578862190246582
139,917.3472900390625,66.67515563964844,0.9926707744598389,897.3256225585938,400.7175598144531,0.9983401298522949,891.1311645507812,509.999755859375,0.8360036015510559
140,922.3245239257812,67.22772979736328,0.9818499684333801,912.5033569335938,399.8010559082031,0.9980617165565491,912.951171875,500.95751953125,0.9720625281333923
141,923.6156616210938,65.51505279541016,0.9892187714576721,928.1439819335938,399.8288879394531,0.9982513785362244,932.38916015625,508.40093994140625,0.924537718296051
142,927.30712890625,65.5123291015625,0.9954643845558167,943.7537841796875,399.437744140625,0.9981644749641418,950.2610473632812,510.13348388671875,0.9494789838790894
143,930.3555297851562,65.41700744628906,0.996382474899292,958.0383911132812,399.2322998046875,0.9978603720664978,973.081787109375,505.5267333984375,0.8844125866889954
144,933.490966796875,65.95661926269531,0.9945213794708252,969.9068603515625,398.153076171875,0.9917427897453308,991.6639404296875,507.56121826171875,0.9543142914772034
145,937.652099609375,66.09561157226562,0.9881763458251953,982.0926513671875,398.851318359375,0.9971904158592224,1003.3353271484375,507.4543151855469,0.9638631343841553
146,937.6055908203125,65.9796142578125,0.9882662892341614,982.1694946289062,398.8304748535156,0.997148334980011,1003.02685546875,507.37335205078125,0.9698402285575867
147,939.3397216796875,65.4679946899414,0.9851083159446716,988.8013305664062,399.1351623535156,0.9961814880371094,1009.3837280273438,506.57611083984375,0.9788534045219421
148,939.6761474609375,65.09866333007812,0.9874366521835327,994.91796875,401.8791198730469,0.9988082647323608,1015.3363647460938,510.10479736328125,0.9837305545806885
